Date Time,System Marginal Price (SMP),Event occurred at 2017-11-03 09:37:00,Event Message: Battle River 4 online
2017-11-03 06:37:00,20.42
2017-11-03 06:38:00,20.42
2017-11-03 06:39:00,20.42
2017-11-03 06:40:00,20.42
2017-11-03 06:41:00,20.42
2017-11-03 06:42:00,20.42
2017-11-03 06:43:00,20.42
2017-11-03 06:44:00,20.42
2017-11-03 06:45:00,20.42
2017-11-03 06:46:00,20.42
2017-11-03 06:47:00,20.42
2017-11-03 06:48:00,22.57
2017-11-03 06:49:00,22.57
2017-11-03 06:50:00,22.57
2017-11-03 06:51:00,22.57
2017-11-03 06:52:00,22.57
2017-11-03 06:53:00,22.57
2017-11-03 06:54:00,22.57
2017-11-03 06:55:00,22.57
2017-11-03 06:56:00,22.57
2017-11-03 06:57:00,22.57
2017-11-03 06:58:00,22.57
2017-11-03 06:59:00,22.57
2017-11-03 07:00:00,22.57
2017-11-03 07:01:00,22.57
2017-11-03 07:02:00,22.57
2017-11-03 07:03:00,22.57
2017-11-03 07:04:00,22.57
2017-11-03 07:05:00,22.57
2017-11-03 07:06:00,22.57
2017-11-03 07:07:00,22.57
2017-11-03 07:08:00,22.57
2017-11-03 07:09:00,22.57
2017-11-03 07:10:00,22.57
2017-11-03 07:11:00,22.57
2017-11-03 07:12:00,22.57
2017-11-03 07:13:00,22.57
2017-11-03 07:14:00,22.57
2017-11-03 07:15:00,22.57
2017-11-03 07:16:00,22.57
2017-11-03 07:17:00,22.57
2017-11-03 07:18:00,22.57
2017-11-03 07:19:00,22.57
2017-11-03 07:20:00,22.57
2017-11-03 07:21:00,22.57
2017-11-03 07:22:00,22.57
2017-11-03 07:23:00,22.57
2017-11-03 07:24:00,22.57
2017-11-03 07:25:00,22.57
2017-11-03 07:26:00,22.57
2017-11-03 07:27:00,22.57
2017-11-03 07:28:00,22.57
2017-11-03 07:29:00,22.57
2017-11-03 07:30:00,22.57
2017-11-03 07:31:00,22.57
2017-11-03 07:32:00,22.57
2017-11-03 07:33:00,23.37
2017-11-03 07:34:00,23.37
2017-11-03 07:35:00,23.37
2017-11-03 07:36:00,23.37
2017-11-03 07:37:00,23.37
2017-11-03 07:38:00,23.37
2017-11-03 07:39:00,23.37
2017-11-03 07:40:00,23.37
2017-11-03 07:41:00,23.37
2017-11-03 07:42:00,23.37
2017-11-03 07:43:00,23.37
2017-11-03 07:44:00,23.37
2017-11-03 07:45:00,23.37
2017-11-03 07:46:00,23.37
2017-11-03 07:47:00,23.37
2017-11-03 07:48:00,23.37
2017-11-03 07:49:00,23.37
2017-11-03 07:50:00,23.37
2017-11-03 07:51:00,23.37
2017-11-03 07:52:00,23.37
2017-11-03 07:53:00,23.37
2017-11-03 07:54:00,23.37
2017-11-03 07:55:00,23.37
2017-11-03 07:56:00,23.37
2017-11-03 07:57:00,23.37
2017-11-03 07:58:00,23.37
2017-11-03 07:59:00,23.37
2017-11-03 08:00:00,23.37
2017-11-03 08:01:00,23.37
2017-11-03 08:02:00,23.37
2017-11-03 08:03:00,23.37
2017-11-03 08:04:00,23.37
2017-11-03 08:05:00,23.37
2017-11-03 08:06:00,23.37
2017-11-03 08:07:00,23.37
2017-11-03 08:08:00,23.37
2017-11-03 08:09:00,23.37
2017-11-03 08:10:00,23.37
2017-11-03 08:11:00,23.37
2017-11-03 08:12:00,23.37
2017-11-03 08:13:00,23.37
2017-11-03 08:14:00,23.37
2017-11-03 08:15:00,23.37
2017-11-03 08:16:00,23.37
2017-11-03 08:17:00,23.37
2017-11-03 08:18:00,23.37
2017-11-03 08:19:00,23.37
2017-11-03 08:20:00,23.37
2017-11-03 08:21:00,23.37
2017-11-03 08:22:00,23.37
2017-11-03 08:23:00,23.37
2017-11-03 08:24:00,23.37
2017-11-03 08:25:00,23.37
2017-11-03 08:26:00,23.37
2017-11-03 08:27:00,23.37
2017-11-03 08:28:00,23.37
2017-11-03 08:29:00,23.37
2017-11-03 08:30:00,23.37
2017-11-03 08:31:00,23.37
2017-11-03 08:32:00,23.37
2017-11-03 08:33:00,23.37
2017-11-03 08:34:00,23.37
2017-11-03 08:35:00,23.37
2017-11-03 08:36:00,23.37
2017-11-03 08:37:00,23.37
2017-11-03 08:38:00,23.37
2017-11-03 08:39:00,23.37
2017-11-03 08:40:00,23.37
2017-11-03 08:41:00,23.37
2017-11-03 08:42:00,23.37
2017-11-03 08:43:00,23.37
2017-11-03 08:44:00,23.37
2017-11-03 08:45:00,23.37
2017-11-03 08:46:00,23.37
2017-11-03 08:47:00,23.37
2017-11-03 08:48:00,23.37
2017-11-03 08:49:00,23.37
2017-11-03 08:50:00,23.37
2017-11-03 08:51:00,23.37
2017-11-03 08:52:00,23.37
2017-11-03 08:53:00,23.37
2017-11-03 08:54:00,23.37
2017-11-03 08:55:00,23.37
2017-11-03 08:56:00,23.37
2017-11-03 08:57:00,23.37
2017-11-03 08:58:00,23.37
2017-11-03 08:59:00,23.37
2017-11-03 09:00:00,25.64
2017-11-03 09:01:00,25.64
2017-11-03 09:02:00,25.64
2017-11-03 09:03:00,25.64
2017-11-03 09:04:00,25.64
2017-11-03 09:05:00,25.64
2017-11-03 09:06:00,25.64
