Date Time,System Marginal Price (SMP),Event occurred at 2019-06-19 06:02:00,Event Message: Sundance 6 on line.
2019-06-19 03:02:00,33.53
2019-06-19 03:03:00,33.53
2019-06-19 03:04:00,33.53
2019-06-19 03:05:00,33.53
2019-06-19 03:06:00,33.53
2019-06-19 03:07:00,33.53
2019-06-19 03:08:00,33.53
2019-06-19 03:09:00,33.53
2019-06-19 03:10:00,33.53
2019-06-19 03:11:00,33.53
2019-06-19 03:12:00,33.53
2019-06-19 03:13:00,33.53
2019-06-19 03:14:00,33.53
2019-06-19 03:15:00,33.53
2019-06-19 03:16:00,33.53
2019-06-19 03:17:00,33.53
2019-06-19 03:18:00,33.53
2019-06-19 03:19:00,33.53
2019-06-19 03:20:00,33.53
2019-06-19 03:21:00,33.53
2019-06-19 03:22:00,33.53
2019-06-19 03:23:00,33.53
2019-06-19 03:24:00,33.53
2019-06-19 03:25:00,33.53
2019-06-19 03:26:00,33.53
2019-06-19 03:27:00,33.53
2019-06-19 03:28:00,33.53
2019-06-19 03:29:00,33.53
2019-06-19 03:30:00,33.53
2019-06-19 03:31:00,33.53
2019-06-19 03:32:00,33.53
2019-06-19 03:33:00,33.53
2019-06-19 03:34:00,33.53
2019-06-19 03:35:00,33.53
2019-06-19 03:36:00,33.53
2019-06-19 03:37:00,33.53
2019-06-19 03:38:00,33.53
2019-06-19 03:39:00,33.53
2019-06-19 03:40:00,33.53
2019-06-19 03:41:00,33.53
2019-06-19 03:42:00,33.53
2019-06-19 03:43:00,33.53
2019-06-19 03:44:00,33.53
2019-06-19 03:45:00,33.53
2019-06-19 03:46:00,33.53
2019-06-19 03:47:00,33.53
2019-06-19 03:48:00,33.53
2019-06-19 03:49:00,33.53
2019-06-19 03:50:00,33.53
2019-06-19 03:51:00,33.53
2019-06-19 03:52:00,33.52
2019-06-19 03:53:00,33.52
2019-06-19 03:54:00,33.52
2019-06-19 03:55:00,33.52
2019-06-19 03:56:00,33.52
2019-06-19 03:57:00,33.52
2019-06-19 03:58:00,33.52
2019-06-19 03:59:00,33.52
2019-06-19 04:00:00,33.49
2019-06-19 04:01:00,33.49
2019-06-19 04:02:00,33.49
2019-06-19 04:03:00,33.49
2019-06-19 04:04:00,33.49
2019-06-19 04:05:00,33.49
2019-06-19 04:06:00,33.49
2019-06-19 04:07:00,33.49
2019-06-19 04:08:00,33.49
2019-06-19 04:09:00,33.49
2019-06-19 04:10:00,33.49
2019-06-19 04:11:00,33.49
2019-06-19 04:12:00,33.49
2019-06-19 04:13:00,33.49
2019-06-19 04:14:00,33.49
2019-06-19 04:15:00,33.49
2019-06-19 04:16:00,33.49
2019-06-19 04:17:00,33.49
2019-06-19 04:18:00,33.49
2019-06-19 04:19:00,33.49
2019-06-19 04:20:00,33.49
2019-06-19 04:21:00,33.49
2019-06-19 04:22:00,33.49
2019-06-19 04:23:00,33.49
2019-06-19 04:24:00,33.49
2019-06-19 04:25:00,33.49
2019-06-19 04:26:00,33.49
2019-06-19 04:27:00,33.49
2019-06-19 04:28:00,33.49
2019-06-19 04:29:00,33.49
2019-06-19 04:30:00,33.49
2019-06-19 04:31:00,33.49
2019-06-19 04:32:00,33.49
2019-06-19 04:33:00,33.49
2019-06-19 04:34:00,33.49
2019-06-19 04:35:00,33.49
2019-06-19 04:36:00,33.49
2019-06-19 04:37:00,33.49
2019-06-19 04:38:00,33.49
2019-06-19 04:39:00,33.49
2019-06-19 04:40:00,33.49
2019-06-19 04:41:00,33.49
2019-06-19 04:42:00,33.49
2019-06-19 04:43:00,26.3
2019-06-19 04:44:00,24.7
2019-06-19 04:45:00,24.7
2019-06-19 04:46:00,24.49
2019-06-19 04:47:00,24.49
2019-06-19 04:48:00,24.49
2019-06-19 04:49:00,24.7
2019-06-19 04:50:00,24.7
2019-06-19 04:51:00,24.7
2019-06-19 04:52:00,24.49
2019-06-19 04:53:00,24.49
2019-06-19 04:54:00,24.49
2019-06-19 04:55:00,24.49
2019-06-19 04:56:00,24.49
2019-06-19 04:57:00,24.49
2019-06-19 04:58:00,24.49
2019-06-19 04:59:00,24.49
2019-06-19 05:00:00,24.7
2019-06-19 05:01:00,26.27
2019-06-19 05:02:00,26.27
2019-06-19 05:03:00,26.27
2019-06-19 05:04:00,26.27
2019-06-19 05:05:00,26.27
2019-06-19 05:06:00,26.3
2019-06-19 05:07:00,26.3
2019-06-19 05:08:00,32.9
2019-06-19 05:09:00,32.9
2019-06-19 05:10:00,32.9
2019-06-19 05:11:00,32.9
2019-06-19 05:12:00,32.9
2019-06-19 05:13:00,33.51
2019-06-19 05:14:00,33.51
2019-06-19 05:15:00,33.51
2019-06-19 05:16:00,33.51
2019-06-19 05:17:00,33.51
2019-06-19 05:18:00,33.51
2019-06-19 05:19:00,33.51
2019-06-19 05:20:00,33.51
2019-06-19 05:21:00,33.51
2019-06-19 05:22:00,33.51
2019-06-19 05:23:00,33.51
2019-06-19 05:24:00,33.51
2019-06-19 05:25:00,33.51
2019-06-19 05:26:00,32.9
2019-06-19 05:27:00,32.9
2019-06-19 05:28:00,32.9
2019-06-19 05:29:00,26.3
2019-06-19 05:30:00,26.3
2019-06-19 05:31:00,26.3
2019-06-19 05:32:00,24.7
2019-06-19 05:33:00,24.7
2019-06-19 05:34:00,24.7
2019-06-19 05:35:00,24.7
2019-06-19 05:36:00,26.27
2019-06-19 05:37:00,32.59
2019-06-19 05:38:00,32.9
2019-06-19 05:39:00,32.9
2019-06-19 05:40:00,32.9
2019-06-19 05:41:00,32.9
2019-06-19 05:42:00,32.9
2019-06-19 05:43:00,32.9
2019-06-19 05:44:00,32.9
2019-06-19 05:45:00,32.9
2019-06-19 05:46:00,32.9
2019-06-19 05:47:00,32.9
2019-06-19 05:48:00,32.9
2019-06-19 05:49:00,32.9
2019-06-19 05:50:00,32.9
2019-06-19 05:51:00,32.9
2019-06-19 05:52:00,32.9
2019-06-19 05:53:00,32.9
2019-06-19 05:54:00,32.9
2019-06-19 05:55:00,32.9
2019-06-19 05:56:00,32.9
2019-06-19 05:57:00,32.9
2019-06-19 05:58:00,32.9
2019-06-19 05:59:00,32.9
2019-06-19 06:00:00,32.9
2019-06-19 06:01:00,32.9
2019-06-19 06:02:00,32.9
2019-06-19 06:03:00,32.9
2019-06-19 06:04:00,32.9
2019-06-19 06:05:00,32.9
2019-06-19 06:06:00,33.49
2019-06-19 06:07:00,33.49
2019-06-19 06:08:00,33.49
2019-06-19 06:09:00,33.49
2019-06-19 06:10:00,33.49
2019-06-19 06:11:00,33.49
2019-06-19 06:12:00,33.49
2019-06-19 06:13:00,33.49
2019-06-19 06:14:00,33.49
2019-06-19 06:15:00,33.49
2019-06-19 06:16:00,33.49
2019-06-19 06:17:00,33.49
2019-06-19 06:18:00,33.49
2019-06-19 06:19:00,33.49
2019-06-19 06:20:00,33.49
2019-06-19 06:21:00,33.49
2019-06-19 06:22:00,33.49
2019-06-19 06:23:00,33.49
2019-06-19 06:24:00,33.49
2019-06-19 06:25:00,33.49
2019-06-19 06:26:00,33.49
2019-06-19 06:27:00,33.49
2019-06-19 06:28:00,33.49
2019-06-19 06:29:00,33.49
2019-06-19 06:30:00,33.49
2019-06-19 06:31:00,33.49
2019-06-19 06:32:00,33.49
2019-06-19 06:33:00,33.49
2019-06-19 06:34:00,33.49
2019-06-19 06:35:00,33.49
2019-06-19 06:36:00,33.49
2019-06-19 06:37:00,33.49
2019-06-19 06:38:00,33.52
2019-06-19 06:39:00,33.52
2019-06-19 06:40:00,33.52
2019-06-19 06:41:00,33.52
2019-06-19 06:42:00,33.52
2019-06-19 06:43:00,33.52
2019-06-19 06:44:00,33.52
2019-06-19 06:45:00,33.52
2019-06-19 06:46:00,33.52
2019-06-19 06:47:00,33.52
2019-06-19 06:48:00,33.52
2019-06-19 06:49:00,33.52
2019-06-19 06:50:00,33.52
2019-06-19 06:51:00,33.52
2019-06-19 06:52:00,33.52
2019-06-19 06:53:00,33.52
2019-06-19 06:54:00,33.52
2019-06-19 06:55:00,33.52
2019-06-19 06:56:00,33.52
2019-06-19 06:57:00,33.52
2019-06-19 06:58:00,33.52
2019-06-19 06:59:00,33.52
2019-06-19 07:00:00,33.56
2019-06-19 07:01:00,33.56
2019-06-19 07:02:00,33.56
2019-06-19 07:03:00,33.56
2019-06-19 07:04:00,33.56
2019-06-19 07:05:00,33.56
2019-06-19 07:06:00,33.56
2019-06-19 07:07:00,33.56
2019-06-19 07:08:00,33.56
2019-06-19 07:09:00,33.56
2019-06-19 07:10:00,33.56
2019-06-19 07:11:00,33.56
2019-06-19 07:12:00,33.56
2019-06-19 07:13:00,33.56
2019-06-19 07:14:00,33.56
2019-06-19 07:15:00,33.56
2019-06-19 07:16:00,33.56
2019-06-19 07:17:00,33.56
2019-06-19 07:18:00,33.56
2019-06-19 07:19:00,33.56
2019-06-19 07:20:00,33.56
2019-06-19 07:21:00,33.56
2019-06-19 07:22:00,33.56
2019-06-19 07:23:00,33.56
2019-06-19 07:24:00,33.56
2019-06-19 07:25:00,33.56
2019-06-19 07:26:00,33.56
