Date Time,System Marginal Price (SMP),Event occurred at 2017-10-31 11:23:00,Event Message: Calgary Energy Centre Off line
2017-10-31 08:23:00,18.29
2017-10-31 08:24:00,18.29
2017-10-31 08:25:00,18.29
2017-10-31 08:26:00,18.29
2017-10-31 08:27:00,18.29
2017-10-31 08:28:00,18.29
2017-10-31 08:29:00,18.29
2017-10-31 08:30:00,18.29
2017-10-31 08:31:00,18.29
2017-10-31 08:32:00,18.29
2017-10-31 08:33:00,18.29
2017-10-31 08:34:00,18.29
2017-10-31 08:35:00,18.29
2017-10-31 08:36:00,18.29
2017-10-31 08:37:00,18.29
2017-10-31 08:38:00,18.29
2017-10-31 08:39:00,18.29
2017-10-31 08:40:00,18.29
2017-10-31 08:41:00,18.29
2017-10-31 08:42:00,18.29
2017-10-31 08:43:00,18.29
2017-10-31 08:44:00,18.29
2017-10-31 08:45:00,18.29
2017-10-31 08:46:00,18.29
2017-10-31 08:47:00,18.29
2017-10-31 08:48:00,18.29
2017-10-31 08:49:00,18.29
2017-10-31 08:50:00,18.29
2017-10-31 08:51:00,18.29
2017-10-31 08:52:00,18.29
2017-10-31 08:53:00,18.29
2017-10-31 08:54:00,18.29
2017-10-31 08:55:00,18.29
2017-10-31 08:56:00,18.29
2017-10-31 08:57:00,18.29
2017-10-31 08:58:00,18.29
2017-10-31 08:59:00,18.29
2017-10-31 09:00:00,18.29
2017-10-31 09:01:00,18.29
2017-10-31 09:02:00,18.29
2017-10-31 09:03:00,18.29
2017-10-31 09:04:00,18.29
2017-10-31 09:05:00,18.29
2017-10-31 09:06:00,18.29
2017-10-31 09:07:00,18.29
2017-10-31 09:08:00,18.29
2017-10-31 09:09:00,18.29
2017-10-31 09:10:00,18.07
2017-10-31 09:11:00,18.07
2017-10-31 09:12:00,18.07
2017-10-31 09:13:00,18.07
2017-10-31 09:14:00,18.07
2017-10-31 09:15:00,18.07
2017-10-31 09:16:00,18.07
2017-10-31 09:17:00,18.07
2017-10-31 09:18:00,18.07
2017-10-31 09:19:00,18.29
2017-10-31 09:20:00,18.29
2017-10-31 09:21:00,18.29
2017-10-31 09:22:00,18.29
2017-10-31 09:23:00,18.29
2017-10-31 09:24:00,18.29
2017-10-31 09:25:00,18.29
2017-10-31 09:26:00,18.29
2017-10-31 09:27:00,18.29
2017-10-31 09:28:00,18.29
2017-10-31 09:29:00,18.29
2017-10-31 09:30:00,18.29
2017-10-31 09:31:00,18.29
2017-10-31 09:32:00,18.29
2017-10-31 09:33:00,18.29
2017-10-31 09:34:00,18.29
2017-10-31 09:35:00,18.29
2017-10-31 09:36:00,18.29
2017-10-31 09:37:00,18.29
2017-10-31 09:38:00,18.29
2017-10-31 09:39:00,18.29
2017-10-31 09:40:00,18.29
2017-10-31 09:41:00,18.29
2017-10-31 09:42:00,18.29
2017-10-31 09:43:00,18.29
2017-10-31 09:44:00,18.29
2017-10-31 09:45:00,18.29
2017-10-31 09:46:00,18.29
2017-10-31 09:47:00,18.29
2017-10-31 09:48:00,18.29
2017-10-31 09:49:00,18.29
2017-10-31 09:50:00,18.29
2017-10-31 09:51:00,18.29
2017-10-31 09:52:00,18.29
2017-10-31 09:53:00,18.29
2017-10-31 09:54:00,18.29
2017-10-31 09:55:00,18.29
2017-10-31 09:56:00,18.29
2017-10-31 09:57:00,18.29
2017-10-31 09:58:00,18.29
2017-10-31 09:59:00,18.29
2017-10-31 10:00:00,18.29
2017-10-31 10:01:00,18.29
2017-10-31 10:02:00,18.29
2017-10-31 10:03:00,18.5
2017-10-31 10:04:00,18.51
2017-10-31 10:05:00,18.51
2017-10-31 10:06:00,18.51
2017-10-31 10:07:00,18.51
2017-10-31 10:08:00,18.51
2017-10-31 10:09:00,18.51
2017-10-31 10:10:00,18.51
2017-10-31 10:11:00,18.51
2017-10-31 10:12:00,18.51
2017-10-31 10:13:00,18.51
2017-10-31 10:14:00,18.51
2017-10-31 10:15:00,18.51
2017-10-31 10:16:00,18.51
2017-10-31 10:17:00,18.51
2017-10-31 10:18:00,18.51
2017-10-31 10:19:00,18.51
2017-10-31 10:20:00,18.51
2017-10-31 10:21:00,18.51
2017-10-31 10:22:00,18.51
2017-10-31 10:23:00,18.51
2017-10-31 10:24:00,18.51
2017-10-31 10:25:00,18.51
