Date Time,System Marginal Price (SMP),Event occurred at 2018-06-14 09:42:00,Event Message: The AESO is doing system maintenance today at 10:10am MDT for approx 20 mins. ADaMS will be unavailable for the outage and controllers will dispatch via phone. Users may be logged out of ETS for 5 mins and updates to AESO Reports may be delayed.
2018-06-14 06:42:00,31.75
2018-06-14 06:43:00,31.75
2018-06-14 06:44:00,31.75
2018-06-14 06:45:00,31.75
2018-06-14 06:46:00,31.75
2018-06-14 06:47:00,31.75
2018-06-14 06:48:00,31.75
2018-06-14 06:49:00,31.74
2018-06-14 06:50:00,31.74
2018-06-14 06:51:00,31.74
2018-06-14 06:52:00,31.74
2018-06-14 06:53:00,31.74
2018-06-14 06:54:00,31.74
2018-06-14 06:55:00,31.74
2018-06-14 06:56:00,31.74
2018-06-14 06:57:00,31.74
2018-06-14 06:58:00,31.74
2018-06-14 06:59:00,31.74
2018-06-14 07:00:00,31.74
2018-06-14 07:01:00,31.74
2018-06-14 07:02:00,31.74
2018-06-14 07:03:00,31.74
2018-06-14 07:04:00,31.74
2018-06-14 07:05:00,31.74
2018-06-14 07:06:00,31.74
2018-06-14 07:07:00,31.74
2018-06-14 07:08:00,31.74
2018-06-14 07:09:00,31.74
2018-06-14 07:10:00,31.74
2018-06-14 07:11:00,31.74
2018-06-14 07:12:00,31.74
2018-06-14 07:13:00,31.74
2018-06-14 07:14:00,31.74
2018-06-14 07:15:00,31.74
2018-06-14 07:16:00,31.74
2018-06-14 07:17:00,41.43
2018-06-14 07:18:00,41.43
2018-06-14 07:19:00,41.43
2018-06-14 07:20:00,41.43
2018-06-14 07:21:00,41.43
2018-06-14 07:22:00,41.43
2018-06-14 07:23:00,41.43
2018-06-14 07:24:00,41.43
2018-06-14 07:25:00,41.43
2018-06-14 07:26:00,41.43
2018-06-14 07:27:00,41.43
2018-06-14 07:28:00,41.43
2018-06-14 07:29:00,41.43
2018-06-14 07:30:00,41.43
2018-06-14 07:31:00,41.43
2018-06-14 07:32:00,41.43
2018-06-14 07:33:00,41.43
2018-06-14 07:34:00,41.43
2018-06-14 07:35:00,41.43
2018-06-14 07:36:00,41.43
2018-06-14 07:37:00,41.43
2018-06-14 07:38:00,44.95
2018-06-14 07:39:00,44.95
2018-06-14 07:40:00,44.95
2018-06-14 07:41:00,44.95
2018-06-14 07:42:00,44.95
2018-06-14 07:43:00,44.95
2018-06-14 07:44:00,44.95
2018-06-14 07:45:00,44.95
2018-06-14 07:46:00,44.95
2018-06-14 07:47:00,44.95
2018-06-14 07:48:00,44.95
2018-06-14 07:49:00,44.95
2018-06-14 07:50:00,44.95
2018-06-14 07:51:00,44.95
2018-06-14 07:52:00,44.95
2018-06-14 07:53:00,44.95
2018-06-14 07:54:00,44.95
2018-06-14 07:55:00,44.95
2018-06-14 07:56:00,44.95
2018-06-14 07:57:00,44.95
2018-06-14 07:58:00,44.95
2018-06-14 07:59:00,44.95
2018-06-14 08:00:00,44.95
2018-06-14 08:01:00,44.95
2018-06-14 08:02:00,44.95
2018-06-14 08:03:00,44.95
2018-06-14 08:04:00,44.95
2018-06-14 08:05:00,44.95
2018-06-14 08:06:00,44.95
2018-06-14 08:07:00,44.95
2018-06-14 08:08:00,44.95
2018-06-14 08:09:00,44.95
2018-06-14 08:10:00,44.95
2018-06-14 08:11:00,44.95
2018-06-14 08:12:00,44.95
2018-06-14 08:13:00,44.95
2018-06-14 08:14:00,41.43
2018-06-14 08:15:00,41.43
2018-06-14 08:16:00,41.43
2018-06-14 08:17:00,41.43
2018-06-14 08:18:00,41.43
2018-06-14 08:19:00,41.43
2018-06-14 08:20:00,41.43
2018-06-14 08:21:00,41.43
2018-06-14 08:22:00,41.43
2018-06-14 08:23:00,41.43
2018-06-14 08:24:00,41.43
2018-06-14 08:25:00,41.43
2018-06-14 08:26:00,41.43
2018-06-14 08:27:00,41.43
2018-06-14 08:28:00,41.43
2018-06-14 08:29:00,41.43
2018-06-14 08:30:00,41.43
2018-06-14 08:31:00,41.43
2018-06-14 08:32:00,41.43
2018-06-14 08:33:00,41.43
2018-06-14 08:34:00,41.43
2018-06-14 08:35:00,41.43
2018-06-14 08:36:00,41.43
2018-06-14 08:37:00,41.43
2018-06-14 08:38:00,41.43
2018-06-14 08:39:00,41.43
2018-06-14 08:40:00,41.43
2018-06-14 08:41:00,41.43
2018-06-14 08:42:00,41.43
2018-06-14 08:43:00,41.43
2018-06-14 08:44:00,41.43
2018-06-14 08:45:00,41.43
2018-06-14 08:46:00,41.43
2018-06-14 08:47:00,41.43
2018-06-14 08:48:00,41.43
2018-06-14 08:49:00,41.43
2018-06-14 08:50:00,41.43
2018-06-14 08:51:00,41.43
2018-06-14 08:52:00,41.43
2018-06-14 08:53:00,41.43
2018-06-14 08:54:00,41.43
2018-06-14 08:55:00,41.43
2018-06-14 08:56:00,41.43
2018-06-14 08:57:00,41.43
2018-06-14 08:58:00,41.43
2018-06-14 08:59:00,41.43
2018-06-14 09:00:00,46.0
2018-06-14 09:01:00,46.06
2018-06-14 09:02:00,46.06
2018-06-14 09:03:00,46.06
