Date Time,System Marginal Price (SMP),Event occurred at 2018-06-28 19:24:00,Event Message: Calgary Energy Centre offline
2018-06-28 16:24:00,33.25
2018-06-28 16:25:00,33.25
2018-06-28 16:26:00,33.25
2018-06-28 16:27:00,33.25
2018-06-28 16:28:00,33.25
2018-06-28 16:29:00,33.25
2018-06-28 16:30:00,33.25
2018-06-28 16:31:00,33.25
2018-06-28 16:32:00,33.25
2018-06-28 16:33:00,33.25
2018-06-28 16:34:00,33.25
2018-06-28 16:35:00,33.0
2018-06-28 16:36:00,33.0
2018-06-28 16:37:00,33.0
2018-06-28 16:38:00,33.0
2018-06-28 16:39:00,33.0
2018-06-28 16:40:00,33.0
2018-06-28 16:41:00,33.0
2018-06-28 16:42:00,33.0
2018-06-28 16:43:00,33.0
2018-06-28 16:44:00,33.0
2018-06-28 16:45:00,33.0
2018-06-28 16:46:00,33.0
2018-06-28 16:47:00,33.0
2018-06-28 16:48:00,33.0
2018-06-28 16:49:00,33.0
2018-06-28 16:50:00,33.0
2018-06-28 16:51:00,33.0
2018-06-28 16:52:00,33.0
2018-06-28 16:53:00,33.0
2018-06-28 16:54:00,33.0
2018-06-28 16:55:00,33.0
2018-06-28 16:56:00,33.0
2018-06-28 16:57:00,33.0
2018-06-28 16:58:00,33.0
2018-06-28 16:59:00,33.0
2018-06-28 17:00:00,33.0
2018-06-28 17:01:00,33.0
2018-06-28 17:02:00,33.0
2018-06-28 17:03:00,33.0
2018-06-28 17:04:00,33.0
2018-06-28 17:05:00,33.0
2018-06-28 17:06:00,33.0
2018-06-28 17:07:00,33.0
2018-06-28 17:08:00,33.0
2018-06-28 17:09:00,33.0
2018-06-28 17:10:00,33.0
2018-06-28 17:11:00,33.0
2018-06-28 17:12:00,33.0
2018-06-28 17:13:00,33.0
2018-06-28 17:14:00,33.0
2018-06-28 17:15:00,33.0
2018-06-28 17:16:00,33.0
2018-06-28 17:17:00,33.0
2018-06-28 17:18:00,33.0
2018-06-28 17:19:00,33.0
2018-06-28 17:20:00,33.0
2018-06-28 17:21:00,33.0
2018-06-28 17:22:00,33.0
2018-06-28 17:23:00,33.0
2018-06-28 17:24:00,33.0
2018-06-28 17:25:00,33.0
2018-06-28 17:26:00,33.0
2018-06-28 17:27:00,33.0
2018-06-28 17:28:00,33.0
2018-06-28 17:29:00,33.0
2018-06-28 17:30:00,33.0
2018-06-28 17:31:00,33.0
2018-06-28 17:32:00,33.0
2018-06-28 17:33:00,31.75
2018-06-28 17:34:00,31.75
2018-06-28 17:35:00,31.75
2018-06-28 17:36:00,31.75
2018-06-28 17:37:00,31.75
2018-06-28 17:38:00,31.75
2018-06-28 17:39:00,31.75
2018-06-28 17:40:00,31.75
2018-06-28 17:41:00,31.75
2018-06-28 17:42:00,31.75
2018-06-28 17:43:00,31.75
2018-06-28 17:44:00,31.75
2018-06-28 17:45:00,31.75
2018-06-28 17:46:00,31.75
2018-06-28 17:47:00,31.75
2018-06-28 17:48:00,31.75
2018-06-28 17:49:00,31.74
2018-06-28 17:50:00,31.74
2018-06-28 17:51:00,31.74
2018-06-28 17:52:00,31.74
2018-06-28 17:53:00,31.74
2018-06-28 17:54:00,31.74
2018-06-28 17:55:00,31.74
2018-06-28 17:56:00,31.74
2018-06-28 17:57:00,31.74
2018-06-28 17:58:00,31.74
2018-06-28 17:59:00,31.74
2018-06-28 18:00:00,31.74
2018-06-28 18:01:00,31.74
2018-06-28 18:02:00,31.74
2018-06-28 18:03:00,31.74
2018-06-28 18:04:00,31.74
2018-06-28 18:05:00,31.74
2018-06-28 18:06:00,31.74
2018-06-28 18:07:00,31.74
2018-06-28 18:08:00,31.74
2018-06-28 18:09:00,31.74
2018-06-28 18:10:00,31.74
2018-06-28 18:11:00,31.74
2018-06-28 18:12:00,31.74
2018-06-28 18:13:00,31.74
2018-06-28 18:14:00,31.74
2018-06-28 18:15:00,31.74
2018-06-28 18:16:00,31.74
2018-06-28 18:17:00,31.74
2018-06-28 18:18:00,31.74
2018-06-28 18:19:00,31.74
2018-06-28 18:20:00,31.74
2018-06-28 18:21:00,31.74
2018-06-28 18:22:00,31.74
2018-06-28 18:23:00,31.74
2018-06-28 18:24:00,31.74
2018-06-28 18:25:00,31.74
2018-06-28 18:26:00,31.74
2018-06-28 18:27:00,31.74
2018-06-28 18:28:00,31.74
2018-06-28 18:29:00,31.74
2018-06-28 18:30:00,31.74
2018-06-28 18:31:00,31.74
2018-06-28 18:32:00,31.74
2018-06-28 18:33:00,31.74
2018-06-28 18:34:00,31.74
2018-06-28 18:35:00,31.74
2018-06-28 18:36:00,31.74
2018-06-28 18:37:00,31.74
2018-06-28 18:38:00,31.74
2018-06-28 18:39:00,31.5
2018-06-28 18:40:00,31.5
2018-06-28 18:41:00,31.5
2018-06-28 18:42:00,31.5
2018-06-28 18:43:00,31.5
2018-06-28 18:44:00,31.5
2018-06-28 18:45:00,31.5
2018-06-28 18:46:00,31.5
2018-06-28 18:47:00,31.5
2018-06-28 18:48:00,31.5
2018-06-28 18:49:00,31.5
2018-06-28 18:50:00,31.5
2018-06-28 18:51:00,31.5
2018-06-28 18:52:00,31.5
2018-06-28 18:53:00,31.5
2018-06-28 18:54:00,31.5
2018-06-28 18:55:00,31.5
2018-06-28 18:56:00,31.5
2018-06-28 18:57:00,31.5
2018-06-28 18:58:00,31.5
2018-06-28 18:59:00,31.5
2018-06-28 19:00:00,31.5
2018-06-28 19:01:00,31.5
2018-06-28 19:02:00,31.5
2018-06-28 19:03:00,31.5
2018-06-28 19:04:00,31.5
2018-06-28 19:05:00,31.5
2018-06-28 19:06:00,31.5
2018-06-28 19:07:00,31.5
2018-06-28 19:08:00,31.5
2018-06-28 19:09:00,31.5
2018-06-28 19:10:00,31.5
2018-06-28 19:11:00,31.5
2018-06-28 19:12:00,31.5
2018-06-28 19:13:00,31.5
2018-06-28 19:14:00,31.5
2018-06-28 19:15:00,31.5
2018-06-28 19:16:00,31.5
2018-06-28 19:17:00,31.5
2018-06-28 19:18:00,31.5
2018-06-28 19:19:00,31.5
2018-06-28 19:20:00,31.5
2018-06-28 19:21:00,31.5
2018-06-28 19:22:00,31.5
2018-06-28 19:23:00,31.5
2018-06-28 19:24:00,31.5
2018-06-28 19:25:00,31.5
2018-06-28 19:26:00,31.5
2018-06-28 19:27:00,31.5
2018-06-28 19:28:00,31.5
2018-06-28 19:29:00,31.5
2018-06-28 19:30:00,31.5
2018-06-28 19:31:00,31.5
2018-06-28 19:32:00,31.5
2018-06-28 19:33:00,31.5
2018-06-28 19:34:00,31.5
2018-06-28 19:35:00,31.5
2018-06-28 19:36:00,31.5
2018-06-28 19:37:00,31.5
2018-06-28 19:38:00,31.5
2018-06-28 19:39:00,31.5
2018-06-28 19:40:00,31.5
2018-06-28 19:41:00,31.5
2018-06-28 19:42:00,31.5
2018-06-28 19:43:00,31.5
2018-06-28 19:44:00,31.5
2018-06-28 19:45:00,31.74
2018-06-28 19:46:00,31.74
2018-06-28 19:47:00,31.74
2018-06-28 19:48:00,31.74
2018-06-28 19:49:00,31.74
2018-06-28 19:50:00,31.74
2018-06-28 19:51:00,31.75
2018-06-28 19:52:00,31.75
2018-06-28 19:53:00,31.75
2018-06-28 19:54:00,31.75
2018-06-28 19:55:00,31.75
2018-06-28 19:56:00,31.75
2018-06-28 19:57:00,31.75
2018-06-28 19:58:00,31.75
2018-06-28 19:59:00,31.75
2018-06-28 20:00:00,31.75
2018-06-28 20:01:00,31.75
2018-06-28 20:02:00,31.75
2018-06-28 20:03:00,31.75
2018-06-28 20:04:00,31.75
2018-06-28 20:05:00,31.75
2018-06-28 20:06:00,31.75
2018-06-28 20:07:00,31.75
2018-06-28 20:08:00,31.75
2018-06-28 20:09:00,31.75
2018-06-28 20:10:00,31.75
2018-06-28 20:11:00,31.75
2018-06-28 20:12:00,31.75
2018-06-28 20:13:00,31.75
2018-06-28 20:14:00,31.75
2018-06-28 20:15:00,31.75
2018-06-28 20:16:00,31.75
2018-06-28 20:17:00,31.75
2018-06-28 20:18:00,31.75
2018-06-28 20:19:00,31.75
2018-06-28 20:20:00,31.75
2018-06-28 20:21:00,31.75
2018-06-28 20:22:00,31.75
2018-06-28 20:23:00,31.75
