Date Time,System Marginal Price (SMP),Event occurred at 2017-02-01 20:20:00,Event Message: Sundance 5 on line
2017-02-01 17:20:00,28.89
2017-02-01 17:21:00,28.89
2017-02-01 17:22:00,28.89
2017-02-01 17:23:00,28.89
2017-02-01 17:24:00,28.89
2017-02-01 17:25:00,28.89
2017-02-01 17:26:00,28.89
2017-02-01 17:27:00,32.76
2017-02-01 17:28:00,32.76
2017-02-01 17:29:00,32.76
2017-02-01 17:30:00,32.76
2017-02-01 17:31:00,32.76
2017-02-01 17:32:00,32.76
2017-02-01 17:33:00,32.76
2017-02-01 17:34:00,32.76
2017-02-01 17:35:00,32.76
2017-02-01 17:36:00,32.76
2017-02-01 17:37:00,32.0
2017-02-01 17:38:00,32.0
2017-02-01 17:39:00,32.0
2017-02-01 17:40:00,32.0
2017-02-01 17:41:00,32.0
2017-02-01 17:42:00,32.0
2017-02-01 17:43:00,32.0
2017-02-01 17:44:00,32.0
2017-02-01 17:45:00,32.0
2017-02-01 17:46:00,32.0
2017-02-01 17:47:00,32.0
2017-02-01 17:48:00,32.0
2017-02-01 17:49:00,32.0
2017-02-01 17:50:00,32.0
2017-02-01 17:51:00,32.0
2017-02-01 17:52:00,32.0
2017-02-01 17:53:00,32.0
2017-02-01 17:54:00,32.0
2017-02-01 17:55:00,32.0
2017-02-01 17:56:00,32.0
2017-02-01 17:57:00,32.0
2017-02-01 17:58:00,32.0
2017-02-01 17:59:00,32.0
2017-02-01 18:00:00,28.89
2017-02-01 18:01:00,28.89
2017-02-01 18:02:00,28.89
2017-02-01 18:03:00,28.89
2017-02-01 18:04:00,28.89
2017-02-01 18:05:00,28.89
2017-02-01 18:06:00,28.89
2017-02-01 18:07:00,28.89
2017-02-01 18:08:00,28.89
2017-02-01 18:09:00,28.89
2017-02-01 18:10:00,28.89
2017-02-01 18:11:00,28.89
2017-02-01 18:12:00,28.89
2017-02-01 18:13:00,28.89
2017-02-01 18:14:00,28.89
2017-02-01 18:15:00,28.89
2017-02-01 18:16:00,28.89
2017-02-01 18:17:00,28.89
2017-02-01 18:18:00,28.89
2017-02-01 18:19:00,28.89
2017-02-01 18:20:00,28.89
2017-02-01 18:21:00,28.89
2017-02-01 18:22:00,28.89
2017-02-01 18:23:00,28.89
2017-02-01 18:24:00,28.89
2017-02-01 18:25:00,28.89
2017-02-01 18:26:00,28.89
2017-02-01 18:27:00,28.89
2017-02-01 18:28:00,28.89
2017-02-01 18:29:00,28.89
2017-02-01 18:30:00,28.89
2017-02-01 18:31:00,28.89
2017-02-01 18:32:00,28.89
2017-02-01 18:33:00,28.89
2017-02-01 18:34:00,28.89
2017-02-01 18:35:00,28.89
2017-02-01 18:36:00,28.89
2017-02-01 18:37:00,28.89
2017-02-01 18:38:00,28.89
2017-02-01 18:39:00,28.89
2017-02-01 18:40:00,28.89
2017-02-01 18:41:00,28.89
2017-02-01 18:42:00,28.89
2017-02-01 18:43:00,28.89
2017-02-01 18:44:00,28.89
2017-02-01 18:45:00,28.89
2017-02-01 18:46:00,28.89
2017-02-01 18:47:00,28.89
2017-02-01 18:48:00,28.89
2017-02-01 18:49:00,28.89
2017-02-01 18:50:00,28.89
2017-02-01 18:51:00,28.89
2017-02-01 18:52:00,28.89
2017-02-01 18:53:00,28.89
2017-02-01 18:54:00,28.89
2017-02-01 18:55:00,28.89
2017-02-01 18:56:00,28.89
2017-02-01 18:57:00,28.89
2017-02-01 18:58:00,28.89
2017-02-01 18:59:00,28.89
2017-02-01 19:00:00,28.89
2017-02-01 19:01:00,28.89
2017-02-01 19:02:00,28.89
2017-02-01 19:03:00,28.89
2017-02-01 19:04:00,28.89
2017-02-01 19:05:00,28.89
2017-02-01 19:06:00,28.89
2017-02-01 19:07:00,28.89
2017-02-01 19:08:00,28.89
2017-02-01 19:09:00,28.89
2017-02-01 19:10:00,28.89
2017-02-01 19:11:00,28.89
2017-02-01 19:12:00,28.89
2017-02-01 19:13:00,28.89
2017-02-01 19:14:00,28.89
2017-02-01 19:15:00,28.89
2017-02-01 19:16:00,28.89
2017-02-01 19:17:00,28.89
2017-02-01 19:18:00,28.89
2017-02-01 19:19:00,28.89
2017-02-01 19:20:00,28.89
2017-02-01 19:21:00,28.89
2017-02-01 19:22:00,28.89
2017-02-01 19:23:00,28.89
2017-02-01 19:24:00,28.89
2017-02-01 19:25:00,28.89
2017-02-01 19:26:00,28.89
2017-02-01 19:27:00,28.89
2017-02-01 19:28:00,28.89
2017-02-01 19:29:00,28.89
2017-02-01 19:30:00,28.89
2017-02-01 19:31:00,28.89
2017-02-01 19:32:00,28.89
2017-02-01 19:33:00,28.89
2017-02-01 19:34:00,28.89
2017-02-01 19:35:00,28.89
2017-02-01 19:36:00,28.89
2017-02-01 19:37:00,28.89
2017-02-01 19:38:00,28.89
2017-02-01 19:39:00,28.89
2017-02-01 19:40:00,28.89
2017-02-01 19:41:00,28.89
2017-02-01 19:42:00,28.89
2017-02-01 19:43:00,28.89
2017-02-01 19:44:00,28.89
2017-02-01 19:45:00,28.89
2017-02-01 19:46:00,28.89
2017-02-01 19:47:00,28.89
2017-02-01 19:48:00,28.89
2017-02-01 19:49:00,28.89
2017-02-01 19:50:00,28.89
2017-02-01 19:51:00,28.89
2017-02-01 19:52:00,28.89
2017-02-01 19:53:00,28.89
2017-02-01 19:54:00,28.89
2017-02-01 19:55:00,28.89
2017-02-01 19:56:00,28.89
2017-02-01 19:57:00,28.89
2017-02-01 19:58:00,28.89
2017-02-01 19:59:00,28.89
2017-02-01 20:00:00,28.89
2017-02-01 20:01:00,28.89
2017-02-01 20:02:00,28.89
2017-02-01 20:03:00,28.89
2017-02-01 20:04:00,28.89
2017-02-01 20:05:00,28.89
2017-02-01 20:06:00,28.89
2017-02-01 20:07:00,28.89
2017-02-01 20:08:00,28.89
2017-02-01 20:09:00,28.89
2017-02-01 20:10:00,28.89
2017-02-01 20:11:00,28.89
2017-02-01 20:12:00,28.89
2017-02-01 20:13:00,28.89
2017-02-01 20:14:00,28.89
2017-02-01 20:15:00,28.89
2017-02-01 20:16:00,28.89
2017-02-01 20:17:00,28.89
2017-02-01 20:18:00,28.89
2017-02-01 20:19:00,28.89
2017-02-01 20:20:00,28.89
2017-02-01 20:21:00,28.89
2017-02-01 20:22:00,28.89
2017-02-01 20:23:00,28.89
2017-02-01 20:24:00,27.9
2017-02-01 20:25:00,27.9
2017-02-01 20:26:00,27.9
2017-02-01 20:27:00,27.9
2017-02-01 20:28:00,27.9
2017-02-01 20:29:00,27.9
2017-02-01 20:30:00,27.9
2017-02-01 20:31:00,27.9
2017-02-01 20:32:00,27.9
2017-02-01 20:33:00,27.9
2017-02-01 20:34:00,27.9
2017-02-01 20:35:00,27.9
2017-02-01 20:36:00,27.9
2017-02-01 20:37:00,27.9
2017-02-01 20:38:00,27.9
2017-02-01 20:39:00,27.9
2017-02-01 20:40:00,27.9
2017-02-01 20:41:00,27.9
2017-02-01 20:42:00,27.9
2017-02-01 20:43:00,27.9
2017-02-01 20:44:00,27.9
2017-02-01 20:45:00,27.9
2017-02-01 20:46:00,27.9
2017-02-01 20:47:00,27.9
2017-02-01 20:48:00,27.9
2017-02-01 20:49:00,27.9
2017-02-01 20:50:00,27.9
2017-02-01 20:51:00,27.9
2017-02-01 20:52:00,27.9
2017-02-01 20:53:00,27.9
2017-02-01 20:54:00,27.9
2017-02-01 20:55:00,27.9
2017-02-01 20:56:00,27.9
2017-02-01 20:57:00,27.9
2017-02-01 20:58:00,27.9
2017-02-01 20:59:00,27.9
2017-02-01 21:00:00,32.05
2017-02-01 21:01:00,32.05
2017-02-01 21:02:00,32.05
2017-02-01 21:03:00,32.05
2017-02-01 21:04:00,32.05
2017-02-01 21:05:00,32.05
2017-02-01 21:06:00,32.05
2017-02-01 21:07:00,32.05
2017-02-01 21:08:00,32.05
2017-02-01 21:09:00,32.05
2017-02-01 21:10:00,32.05
2017-02-01 21:11:00,32.05
2017-02-01 21:12:00,32.05
2017-02-01 21:13:00,32.05
2017-02-01 21:14:00,32.05
2017-02-01 21:15:00,32.05
2017-02-01 21:16:00,32.05
2017-02-01 21:17:00,32.05
2017-02-01 21:18:00,32.05
2017-02-01 21:19:00,32.05
2017-02-01 21:20:00,32.05
2017-02-01 21:21:00,32.05
2017-02-01 21:22:00,32.05
2017-02-01 21:23:00,32.05
2017-02-01 21:24:00,32.05
2017-02-01 21:25:00,32.05
2017-02-01 21:26:00,32.05
2017-02-01 21:27:00,32.05
2017-02-01 21:28:00,32.05
2017-02-01 21:29:00,32.05
2017-02-01 21:30:00,32.05
2017-02-01 21:31:00,32.05
2017-02-01 21:32:00,32.05
2017-02-01 21:33:00,32.05
2017-02-01 21:34:00,32.05
2017-02-01 21:35:00,32.05
2017-02-01 21:36:00,32.05
2017-02-01 21:37:00,32.05
2017-02-01 21:38:00,32.05
2017-02-01 21:39:00,32.05
2017-02-01 21:40:00,32.05
2017-02-01 21:41:00,32.05
2017-02-01 21:42:00,32.05
2017-02-01 21:43:00,32.05
2017-02-01 21:44:00,32.05
2017-02-01 21:45:00,32.05
2017-02-01 21:46:00,32.05
2017-02-01 21:47:00,32.05
2017-02-01 21:48:00,32.05
2017-02-01 21:49:00,32.05
2017-02-01 21:50:00,32.05
2017-02-01 21:51:00,32.05
2017-02-01 21:52:00,32.05
2017-02-01 21:53:00,32.05
2017-02-01 21:54:00,32.05
2017-02-01 21:55:00,32.05
2017-02-01 21:56:00,32.05
2017-02-01 21:57:00,32.05
2017-02-01 21:58:00,32.05
2017-02-01 21:59:00,32.05
2017-02-01 22:00:00,32.05
2017-02-01 22:01:00,32.05
2017-02-01 22:02:00,32.05
2017-02-01 22:03:00,32.05
2017-02-01 22:04:00,32.05
2017-02-01 22:05:00,32.05
2017-02-01 22:06:00,32.05
2017-02-01 22:07:00,32.05
2017-02-01 22:08:00,32.05
2017-02-01 22:09:00,32.05
2017-02-01 22:10:00,32.05
2017-02-01 22:11:00,32.05
2017-02-01 22:12:00,32.05
2017-02-01 22:13:00,32.05
2017-02-01 22:14:00,32.05
2017-02-01 22:15:00,32.05
2017-02-01 22:16:00,32.05
2017-02-01 22:17:00,32.05
2017-02-01 22:18:00,27.77
2017-02-01 22:19:00,27.77
2017-02-01 22:20:00,27.77
2017-02-01 22:21:00,27.77
2017-02-01 22:22:00,27.77
2017-02-01 22:23:00,27.77
2017-02-01 22:24:00,27.77
2017-02-01 22:25:00,27.77
2017-02-01 22:26:00,27.77
2017-02-01 22:27:00,27.77
2017-02-01 22:28:00,27.77
2017-02-01 22:29:00,27.77
2017-02-01 22:30:00,27.77
2017-02-01 22:31:00,27.77
2017-02-01 22:32:00,27.77
2017-02-01 22:33:00,27.77
2017-02-01 22:34:00,27.77
2017-02-01 22:35:00,27.77
2017-02-01 22:36:00,27.77
2017-02-01 22:37:00,27.77
2017-02-01 22:38:00,27.77
2017-02-01 22:39:00,27.77
2017-02-01 22:40:00,27.77
2017-02-01 22:41:00,27.77
2017-02-01 22:42:00,27.77
2017-02-01 22:43:00,27.77
2017-02-01 22:44:00,27.77
2017-02-01 22:45:00,27.77
2017-02-01 22:46:00,27.77
2017-02-01 22:47:00,27.77
2017-02-01 22:48:00,27.77
2017-02-01 22:49:00,27.77
2017-02-01 22:50:00,27.77
2017-02-01 22:51:00,27.77
2017-02-01 22:52:00,27.77
2017-02-01 22:53:00,27.77
2017-02-01 22:54:00,27.77
2017-02-01 22:55:00,27.77
2017-02-01 22:56:00,27.77
2017-02-01 22:57:00,27.77
2017-02-01 22:58:00,27.77
2017-02-01 22:59:00,27.77
2017-02-01 23:00:00,27.77
2017-02-01 23:01:00,27.77
2017-02-01 23:02:00,27.77
2017-02-01 23:03:00,27.77
2017-02-01 23:04:00,27.77
2017-02-01 23:05:00,27.77
2017-02-01 23:06:00,27.77
2017-02-01 23:07:00,27.77
2017-02-01 23:08:00,24.42
2017-02-01 23:09:00,24.42
2017-02-01 23:10:00,21.32
2017-02-01 23:11:00,20.5
2017-02-01 23:12:00,20.5
2017-02-01 23:13:00,20.5
2017-02-01 23:14:00,20.5
2017-02-01 23:15:00,20.5
2017-02-01 23:16:00,20.5
2017-02-01 23:17:00,20.5
2017-02-01 23:18:00,20.5
2017-02-01 23:19:00,20.5
